record_ID,week,store_id,sku_id,total_price,base_price,is_featured_sku,is_display_sku,units_sold
43072,18-07-2011,9132,216419,66.975,66.975,0,0,11
41334,11-07-2011,8911,216419,67.6875,67.6875,0,0,45
39241,04-07-2011,8091,216418,120.4125,120.4125,0,0,6
39697,04-07-2011,8911,216419,68.4,68.4,0,0,21
39243,04-07-2011,8091,216425,134.6625,134.6625,0,0,17
39244,04-07-2011,8091,216233,132.525,132.525,0,0,29
42244,11-07-2011,9837,217390,133.95,168.15,0,0,145
39249,04-07-2011,8091,219009,227.2875,227.2875,0,0,21
39253,04-07-2011,8091,223245,205.2,205.2,0,0,32
39254,04-07-2011,8091,223153,213.0375,213.0375,0,0,11
39257,04-07-2011,8095,216418,88.35,88.35,0,0,93
39796,04-07-2011,9132,216419,68.4,68.4,0,0,14
39259,04-07-2011,8095,300021,82.65,82.65,0,0,47
39262,04-07-2011,8095,216425,134.6625,134.6625,0,0,75
39263,04-07-2011,8095,216233,133.2375,133.2375,0,0,108
44278,25-07-2011,8058,217390,136.0875,166.725,0,0,106
39267,04-07-2011,8095,219844,278.5875,278.5875,0,0,20
39268,04-07-2011,8095,219009,219.45,219.45,0,0,87
39270,04-07-2011,8095,222087,187.3875,187.3875,0,0,80
39271,04-07-2011,8095,320485,205.9125,205.9125,0,0,22
39272,04-07-2011,8095,378934,205.9125,205.9125,0,0,12
39273,04-07-2011,8095,222765,234.4125,234.4125,0,0,105
39274,04-07-2011,8095,223245,196.65,196.65,0,0,70
39275,04-07-2011,8095,223153,220.1625,220.1625,0,0,25
39277,04-07-2011,8095,245387,448.1625,448.1625,0,0,19
39278,04-07-2011,8095,245338,448.1625,448.1625,0,0,21
39282,04-07-2011,8094,216418,88.35,88.35,0,0,54
40108,04-07-2011,9425,216419,68.4,68.4,0,0,34
39284,04-07-2011,8094,300021,88.35,88.35,0,0,24
39287,04-07-2011,8094,216425,132.525,132.525,0,0,34
39288,04-07-2011,8094,216233,132.525,132.525,0,0,50
42642,18-07-2011,8058,217390,137.5125,166.725,0,0,81
39290,04-07-2011,8094,217217,232.9875,232.9875,0,0,21
39291,04-07-2011,8094,217777,235.125,235.125,0,0,28
39292,04-07-2011,8094,219844,232.9875,232.9875,0,0,23
39293,04-07-2011,8094,219009,223.0125,223.0125,0,0,76
39294,04-07-2011,8094,219029,180.2625,312.7875,1,0,140
39295,04-07-2011,8094,222087,227.2875,227.2875,0,0,30
39296,04-07-2011,8094,320485,205.9125,205.9125,0,0,27
39297,04-07-2011,8094,378934,205.9125,205.9125,0,0,33
39298,04-07-2011,8094,222765,240.825,240.825,0,0,32
39299,04-07-2011,8094,223245,213.0375,213.0375,0,0,41
39300,04-07-2011,8094,223153,213.0375,213.0375,0,0,29
39301,04-07-2011,8094,398721,469.5375,469.5375,0,0,3
39302,04-07-2011,8094,245387,469.5375,469.5375,0,0,12
39303,04-07-2011,8094,245338,469.5375,469.5375,0,0,12
39305,04-07-2011,8094,547934,127.5375,160.3125,0,0,11
39306,04-07-2011,8094,679023,204.4875,204.4875,0,0,6
39307,04-07-2011,8094,546789,196.65,196.65,0,0,23
39308,04-07-2011,8063,216418,69.1125,69.1125,0,0,33
40128,04-07-2011,9432,216419,68.4,68.4,0,0,42
39312,04-07-2011,8063,216233,133.2375,133.2375,0,0,43
45487,25-07-2011,9823,217390,137.5125,168.15,0,0,161
39314,04-07-2011,8063,217217,225.8625,225.8625,0,0,12
39315,04-07-2011,8063,217777,233.7,233.7,0,0,23
39317,04-07-2011,8063,219009,227.2875,227.2875,0,0,72
39318,04-07-2011,8063,219029,177.4125,295.6875,1,0,93
39319,04-07-2011,8063,222087,178.8375,208.7625,0,0,30
39320,04-07-2011,8063,320485,205.9125,205.9125,0,0,15
39321,04-07-2011,8063,378934,205.9125,205.9125,0,0,6
39323,04-07-2011,8063,222765,205.2,205.2,0,0,52
39324,04-07-2011,8063,223245,197.3625,197.3625,0,0,35
39325,04-07-2011,8063,223153,212.325,212.325,0,0,25
39327,04-07-2011,8063,245387,469.5375,469.5375,0,0,20
39328,04-07-2011,8063,245338,469.5375,469.5375,0,0,16
39330,04-07-2011,8063,547934,127.5375,170.2875,0,0,15
39331,04-07-2011,8063,679023,201.6375,201.6375,0,0,4
39333,04-07-2011,8023,216418,119.7,119.7,0,0,134
41810,11-07-2011,9456,216419,68.4,68.4,0,0,34
39335,04-07-2011,8023,300021,120.4125,120.4125,0,0,55
39336,04-07-2011,8023,300291,110.4375,181.6875,0,0,17
39338,04-07-2011,8023,216425,132.525,132.525,0,0,80
39339,04-07-2011,8023,216233,133.95,133.95,0,0,83
39344,04-07-2011,8023,219009,220.1625,220.1625,0,0,191
39346,04-07-2011,8023,222087,193.0875,193.0875,0,0,138
39347,04-07-2011,8023,320485,205.9125,205.9125,0,0,58
39348,04-07-2011,8023,378934,205.9125,205.9125,0,0,35
39350,04-07-2011,8023,222765,234.4125,234.4125,0,0,144
39351,04-07-2011,8023,223245,200.925,200.925,0,0,74
39352,04-07-2011,8023,223153,228,228,0,0,28
39353,04-07-2011,8023,398721,448.1625,448.1625,0,0,8
39354,04-07-2011,8023,245387,452.4375,452.4375,0,0,32
39355,04-07-2011,8023,245338,452.4375,452.4375,0,0,65
39356,04-07-2011,8023,600934,391.1625,454.575,0,0,38
39359,04-07-2011,8023,545621,355.5375,355.5375,0,0,20
39360,04-07-2011,8058,216418,118.275,118.275,0,0,87
42032,11-07-2011,9632,216419,68.4,68.4,0,0,21
39363,04-07-2011,8058,216425,133.95,133.95,0,0,21
39364,04-07-2011,8058,216233,133.95,133.95,0,0,37
45256,25-07-2011,9611,217390,138.225,167.4375,0,0,131
39368,04-07-2011,8058,219844,277.1625,277.1625,0,0,11
39369,04-07-2011,8058,219009,227.2875,227.2875,0,0,35
39371,04-07-2011,8058,222087,202.35,202.35,0,0,39
39372,04-07-2011,8058,320485,205.9125,205.9125,0,0,12
39373,04-07-2011,8058,378934,205.9125,205.9125,0,0,14
39374,04-07-2011,8058,222765,234.4125,234.4125,0,0,45
39375,04-07-2011,8058,223245,205.2,205.2,0,0,27
39378,04-07-2011,8058,245387,448.1625,448.1625,0,0,19
39379,04-07-2011,8058,245338,452.4375,452.4375,0,0,29
39383,04-07-2011,8222,216418,116.1375,116.1375,0,0,58
42973,18-07-2011,8911,216419,68.4,68.4,0,0,35
39385,04-07-2011,8222,300021,119.7,119.7,0,0,18
39388,04-07-2011,8222,216425,134.6625,134.6625,0,0,60
39389,04-07-2011,8222,216233,133.95,133.95,0,0,79
39390,04-07-2011,8222,217390,138.9375,167.4375,0,0,182
39392,04-07-2011,8222,219009,218.7375,218.7375,0,0,121
39394,04-07-2011,8222,222087,204.4875,204.4875,0,0,88
39395,04-07-2011,8222,320485,205.9125,205.9125,0,0,32
39396,04-07-2011,8222,378934,205.9125,205.9125,0,0,7
39398,04-07-2011,8222,222765,233.7,233.7,0,0,94
39399,04-07-2011,8222,223245,205.2,205.2,0,0,86
39401,04-07-2011,8222,398721,448.1625,448.1625,0,0,17
39402,04-07-2011,8222,245387,448.1625,448.1625,0,0,25
39403,04-07-2011,8222,245338,448.1625,448.1625,0,0,26
39405,04-07-2011,8222,547934,129.675,177.4125,0,0,65
39408,04-07-2011,8121,216418,69.825,69.825,0,0,45
39412,04-07-2011,8121,216425,131.8125,131.8125,0,0,24
39413,04-07-2011,8121,216233,130.3875,130.3875,0,0,39
39775,04-07-2011,9112,217390,138.9375,166.725,0,0,142
39415,04-07-2011,8121,217217,227.2875,227.2875,0,0,27
39416,04-07-2011,8121,217777,228.7125,228.7125,0,0,11
39417,04-07-2011,8121,219844,232.9875,232.9875,0,0,7
39418,04-07-2011,8121,219009,227.2875,227.2875,0,0,80
39420,04-07-2011,8121,222087,200.2125,200.2125,0,0,28
39421,04-07-2011,8121,320485,205.9125,205.9125,0,0,21
39422,04-07-2011,8121,378934,205.9125,205.9125,0,0,7
39424,04-07-2011,8121,222765,205.2,205.2,0,0,35
